Fecha "Riesgo País"
2011-12-17T00:00:00Z 848
2011-12-18T00:00:00Z 848
2011-12-19T00:00:00Z 847
2011-12-20T00:00:00Z 844
2011-12-21T00:00:00Z 840
2011-12-22T00:00:00Z 840
2011-12-23T00:00:00Z 835
2011-12-24T00:00:00Z 835
2011-12-25T00:00:00Z 835
2011-12-26T00:00:00Z 835
2011-12-27T00:00:00Z 836
2011-12-28T00:00:00Z 840
2011-12-29T00:00:00Z 843
2011-12-30T00:00:00Z 846
2011-12-31T00:00:00Z 846
2012-01-01T00:00:00Z 846
2012-01-02T00:00:00Z 846
2012-01-03T00:00:00Z 790
2012-01-04T00:00:00Z 790
2012-01-05T00:00:00Z 791
2012-01-06T00:00:00Z 792
2012-01-07T00:00:00Z 792
2012-01-08T00:00:00Z 792
2012-01-09T00:00:00Z 793
2012-01-10T00:00:00Z 793
2012-01-11T00:00:00Z 795
2012-01-12T00:00:00Z 810
2012-01-13T00:00:00Z 812
2012-01-14T00:00:00Z 812
2012-01-15T00:00:00Z 812
2012-01-16T00:00:00Z 812
2012-01-17T00:00:00Z 813
2012-01-18T00:00:00Z 811
2012-01-19T00:00:00Z 808
2012-01-20T00:00:00Z 806
2012-01-21T00:00:00Z 806
2012-01-22T00:00:00Z 806
2012-01-23T00:00:00Z 805
2012-01-24T00:00:00Z 805
2012-01-25T00:00:00Z 813
2012-01-26T00:00:00Z 815
2012-01-27T00:00:00Z 816
2012-01-28T00:00:00Z 816
2012-01-29T00:00:00Z 816
2012-01-30T00:00:00Z 817
2012-01-31T00:00:00Z 818
2012-02-01T00:00:00Z 817
2012-02-02T00:00:00Z 818
2012-02-03T00:00:00Z 783
2012-02-04T00:00:00Z 783
2012-02-05T00:00:00Z 783
2012-02-06T00:00:00Z 785
2012-02-07T00:00:00Z 781
2012-02-08T00:00:00Z 779
2012-02-09T00:00:00Z 776
2012-02-10T00:00:00Z 795
2012-02-11T00:00:00Z 795
2012-02-12T00:00:00Z 795
2012-02-13T00:00:00Z 792
2012-02-14T00:00:00Z 793
2012-02-15T00:00:00Z 795
2012-02-16T00:00:00Z 790
2012-02-17T00:00:00Z 787
2012-02-18T00:00:00Z 787
2012-02-19T00:00:00Z 787
2012-02-20T00:00:00Z 787
2012-02-21T00:00:00Z 786
2012-02-22T00:00:00Z 788
2012-02-23T00:00:00Z 787
2012-02-24T00:00:00Z 787
2012-02-25T00:00:00Z 787
2012-02-26T00:00:00Z 787
2012-02-27T00:00:00Z 790
2012-02-28T00:00:00Z 791
2012-02-29T00:00:00Z 788
2012-03-01T00:00:00Z 787
2012-03-02T00:00:00Z 791
2012-03-03T00:00:00Z 791
2012-03-04T00:00:00Z 791
2012-03-05T00:00:00Z 789
2012-03-06T00:00:00Z 808
2012-03-07T00:00:00Z 805
2012-03-08T00:00:00Z 803
2012-03-09T00:00:00Z 802
2012-03-10T00:00:00Z 802
2012-03-11T00:00:00Z 802
2012-03-12T00:00:00Z 800
2012-03-13T00:00:00Z 796
2012-03-14T00:00:00Z 800
2012-03-15T00:00:00Z 803
2012-03-16T00:00:00Z 802
2012-03-17T00:00:00Z 802
2012-03-18T00:00:00Z 802
2012-03-19T00:00:00Z 797
2012-03-20T00:00:00Z 795
2012-03-21T00:00:00Z 800
2012-03-22T00:00:00Z 803
2012-03-23T00:00:00Z 804
2012-03-24T00:00:00Z 804
2012-03-25T00:00:00Z 804
2012-03-26T00:00:00Z 806
2012-03-27T00:00:00Z 810
2012-03-28T00:00:00Z 809
2012-03-29T00:00:00Z 826
2012-03-30T00:00:00Z 824
2012-03-31T00:00:00Z 824
2012-04-01T00:00:00Z 824
2012-04-02T00:00:00Z 827
2012-04-03T00:00:00Z 804
2012-04-04T00:00:00Z 807
2012-04-05T00:00:00Z 811
2012-04-06T00:00:00Z 811
2012-04-07T00:00:00Z 811
2012-04-08T00:00:00Z 811
2012-04-09T00:00:00Z 818
2012-04-10T00:00:00Z 821
2012-04-11T00:00:00Z 819
2012-04-12T00:00:00Z 819
2012-04-13T00:00:00Z 838
2012-04-14T00:00:00Z 838
2012-04-15T00:00:00Z 838
2012-04-16T00:00:00Z 830
2012-04-17T00:00:00Z 789
2012-04-18T00:00:00Z 790
2012-04-19T00:00:00Z 790
2012-04-20T00:00:00Z 790
2012-04-21T00:00:00Z 790
2012-04-22T00:00:00Z 790
2012-04-23T00:00:00Z 792
2012-04-24T00:00:00Z 790
2012-04-25T00:00:00Z 790
2012-04-26T00:00:00Z 791
2012-04-27T00:00:00Z 792
2012-04-28T00:00:00Z 792
2012-04-29T00:00:00Z 792
2012-04-30T00:00:00Z 792
2012-05-01T00:00:00Z 791
2012-05-02T00:00:00Z 792
2012-05-03T00:00:00Z 792
2012-05-04T00:00:00Z 794
2012-05-05T00:00:00Z 794
2012-05-06T00:00:00Z 794
2012-05-07T00:00:00Z 794
2012-05-08T00:00:00Z 795
2012-05-09T00:00:00Z 794
2012-05-10T00:00:00Z 793
2012-05-11T00:00:00Z 811
2012-05-12T00:00:00Z 811
2012-05-13T00:00:00Z 811
2012-05-14T00:00:00Z 828
2012-05-15T00:00:00Z 860
2012-05-16T00:00:00Z 858
2012-05-17T00:00:00Z 858
2012-05-18T00:00:00Z 857
2012-05-19T00:00:00Z 857
2012-05-20T00:00:00Z 857
2012-05-21T00:00:00Z 858
2012-05-22T00:00:00Z 890
2012-05-23T00:00:00Z 909
2012-05-24T00:00:00Z 906
2012-05-25T00:00:00Z 907
2012-05-26T00:00:00Z 907
2012-05-27T00:00:00Z 907
2012-05-28T00:00:00Z 907
2012-05-29T00:00:00Z 924
2012-05-30T00:00:00Z 946
2012-05-31T00:00:00Z 948
2012-06-01T00:00:00Z 951
2012-06-02T00:00:00Z 951
2012-06-03T00:00:00Z 951
2012-06-04T00:00:00Z 949
2012-06-05T00:00:00Z 881
2012-06-06T00:00:00Z 878
2012-06-07T00:00:00Z 878
2012-06-08T00:00:00Z 878
2012-06-09T00:00:00Z 878
2012-06-10T00:00:00Z 878
2012-06-11T00:00:00Z 879
2012-06-12T00:00:00Z 875
2012-06-13T00:00:00Z 876
2012-06-14T00:00:00Z 876
2012-06-15T00:00:00Z 875
2012-06-16T00:00:00Z 875
2012-06-17T00:00:00Z 875
2012-06-18T00:00:00Z 878
2012-06-19T00:00:00Z 877
2012-06-20T00:00:00Z 891
2012-06-21T00:00:00Z 892
